tarih,yil,baslik,ana_tema,ikincil_temalar,ozet,anahtar_kelimeler
10.01.2014,2014,MEVLİD-İ NEBİ,Peygamberimiz ve Ashab,"Kandiller, Muharrem ve Mübarek Geceler","Mevlid Kandili vesilesiyle verilen bu hutbe, Hz. Peygamber'in muhabbet ve rahmet peygamberi olarak insanlığa yol gösterdiğini anlatır. Peygamberin getirdiği ilkelerin yaşanarak hayata geçirilmesinin O'na duyulan sevginin gerçek göstergesi olduğu, kardeşlik ve kin tutmama duasının önemi vurgulanır. Hutbe, Peygamber'e salat ve selam getirilmesiyle sona erer.",mevlid-i nebi; hz. muhammed; rahmet peygamberi; kardeşlik; peygamber sevgisi; kandil
31.01.2014,2014,NASIL BİR KARDEŞLİK?,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ahlak, Erdem ve Söz","Bu hutbe, kardeşliğin İslam'da soy bağından öte, muhabbet, şefkat ve dayanışmaya dayalı derin bir bağ olduğunu anlatır. Ensar ve Muhacir örneğinin günümüzde bir tarih hatırası haline geldiği, dünyevi çıkarların ve mezhep ayrılıklarının kardeşlik duygusunu zedelediği eleştirilir. Hutbe, kimsenin hakikati tekeline almaması ve müminlerin birleştirici olması çağrısıyla sona erer.",kardeşlik; ensar ve muhacir; mezhep ayrılığı; fitne; birlik ve beraberlik; hakikat iddiası
07.02.2014,2014,DİN SAMİMİYETTİR,"Ahlak, Erdem ve Söz","İbadet ve Kulluk; İman, Tevhid ve Ahiret","Bu hutbe, dinin özünün samimiyet (ihlas) olduğunu ve Allah'a, Kitab'a, Peygamber'e ve topluma karşı içten bir bağlılık gerektirdiğini anlatır. İhlassız yapılan ibadetlerin -namaz, oruç, kurban, sadaka- gerçek amacına ulaşamayacağı, riyanın amelleri değersizleştirdiği vurgulanır. Hutbe, herkesin kendi ve ailesinin ihlas ve samimiyetle Allah'a bağlı kılınması duasıyla sona erer.",ihlas; samimiyet; riya; gösteriş; ibadetlerin özü; dinin esası
14.02.2014,2014,AFFETMEK,"Ahlak, Erdem ve Söz","Toplumsal Dayanışma, Merhamet ve Kardeşlik; Peygamberimiz ve Ashab","Bu hutbe, affetmenin kin, intikam ve nefreti silen erdemli bir davranış olduğunu, Peygamber'in Mekke fethinde düşmanlarını affetmesi örneğiyle anlatır. Affetmenin adaletten vazgeçmek değil, ondan daha üstün bir erdem olduğu, Taif halkına yapılan beddua yerine edilen dua örneğiyle desteklenir. Hutbe, affetme ve bağışlamanın hem bireye hem topluma huzur getirdiği vurgusuyla sona erer.",affetmek; mekke'nin fethi; kin ve intikam; hoşgörü; taif; bağışlayıcılık
21.02.2014,2014,KALB-İ SELİM (III),"İman, Tevhid ve Ahiret",,"Hutbe, kalbin insanın manevi ve ahlaki hayatındaki merkezi konumunu, imanın, hikmetin ve ahlakın kaynağı olarak değerini ele alır. Peygamberlerin temel görevinin katılaşmış kalpleri açmak ve gönülleri kin, nefret ve samimiyetsizlik gibi hastalıklardan arındırmak olduğu vurgulanır. Hutbe, Allah'a kalb-i selim ile gelebilmenin önemine dikkat çekerek, kalbi dinde sabit kılması için Rabbe yakarışla sona erer.",kalp; kalb-i selim; gönül arınması; manevi hastalıklar; kin ve nefretten arınma; iman ve hikmet; gönül terbiyesi
21.02.2014,2014,KALB-İ SELİM (II),"İman, Tevhid ve Ahiret",,"Hutbe, kalbin insanın manevi ve ahlaki hayatındaki merkezi konumunu, imanın, hikmetin ve ahlakın kaynağı olarak değerini ele alır. Peygamberlerin temel görevinin katılaşmış kalpleri açmak ve gönülleri kin, nefret ve samimiyetsizlik gibi hastalıklardan arındırmak olduğu vurgulanır. Hutbe, Allah'a kalb-i selim ile gelebilmenin önemine dikkat çekerek, kalbi dinde sabit kılması için Rabbe yakarışla sona erer.",kalp; kalb-i selim; gönül arınması; manevi hastalıklar; kin ve nefretten arınma; iman ve hikmet; gönül terbiyesi
21.02.2014,2014,KALB-İ SELİM (I),"İman, Tevhid ve Ahiret",,"Hutbe, kalbin insanın manevi ve ahlaki hayatındaki merkezi konumunu, imanın, hikmetin ve ahlakın kaynağı olarak değerini ele alır. Peygamberlerin temel görevinin katılaşmış kalpleri açmak ve gönülleri kin, nefret ve samimiyetsizlik gibi hastalıklardan arındırmak olduğu vurgulanır. Hutbe, Allah'a kalb-i selim ile gelebilmenin önemine dikkat çekerek, kalbi dinde sabit kılması için Rabbe yakarışla sona erer.",kalp; kalb-i selim; gönül arınması; manevi hastalıklar; kin ve nefretten arınma; iman ve hikmet; gönül terbiyesi
28.02.2014,2014,"İMAN, ÖZGÜRLÜK VE BAĞIMLILIK","Afet, Kriz ve Sağlık","Eğitim, Teknoloji, Çevre ve Toplumsal Değişim","Hutbe, imanın özgürlük anlamına geldiğini ve nefsin heva ile şehvetine köle olmamak gerektiğini işler; bu bağlamda sigara, alkol, uyuşturucu, kumar ve teknoloji bağımlılığının bireyi ve toplumu nasıl tahrip ettiği somut verilerle anlatılır. Bağımlılıkların aile, ahlak ve toplum düzenine verdiği zararlara dikkat çekilerek çocukların bu tuzaklardan korunmasında anne-babalara ve kurumlara büyük sorumluluk düştüğü vurgulanır. Hutbe, Allah'tan helal nimetlerle yetinme ve haramlardan müstağni kalma duasıyla tamamlanır.",bağımlılık; madde bağımlılığı; teknoloji bağımlılığı; alkol ve kumar; nefis terbiyesi; aile içi zarar; özgürlük
07.03.2014,2014,İMAN VE İSTİKAMET ÜZERE OLMAK,"Sabır, Tevekkül ve Manevi Olgunluk",,"Hutbe, imanın yalnızca inanmakla kalmayıp dosdoğru bir yaşayışla (istikamet) tamamlanması gerektiğini, Fatiha suresindeki sırat-ı müstakim talebiyle bu ilkenin günlük ibadete nasıl yerleştiğini anlatır. Nefis, şeytan ve dünya tutkularının insanı istikametten saptırabileceği belirtilerek kalp, dil ve davranışta doğruluğun iman için vazgeçilmez olduğu vurgulanır. Hutbe, kalplerin saptırılmaması ve rahmet bağışlanması için yapılan bir dua ile sona erer.",istikamet; dosdoğru olmak; sırat-ı müstakim; iman ve amel bütünlüğü; nefis terbiyesi; kalp ve dil doğruluğu
21.03.2014,2014,İMTİHAN DÜNYASI,"Sabır, Tevekkül ve Manevi Olgunluk","İman, Tevhid ve Ahiret","Hutbe, dünya hayatının bir imtihan yeri olduğunu, peygamberlerden başlayarak her insanın nimet ve musibetlerle sınandığını anlatır; Hz. Âdem'den Hz. Muhammed'e kadar peygamberlerin imtihan örnekleri üzerinden bu gerçek somutlaştırılır. Günümüz müminlerinin imtihanının ise sıdk, cömertlik, ibadet ve bencillikten arınma gibi günlük hayattaki sınavlarda gizli olduğu vurgulanır. Hutbe, imtihanları hayırla aşabilmek için Allah'a sığınma ve arınma temennisiyle sona erer.",imtihan; sabır; peygamberlerin sınanması; musibet; nimet ve şükür; arınma
28.03.2014,2014,HÜRRİYET VE MESULİYET,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, Peygamberimizin gemi benzetmesi üzerinden hürriyet ile sorumluluğun ayrılmaz iki kavram olduğunu, bireysel özgürlüğün toplumsal sorumlulukla sınırlandığını anlatır. Hürriyetin başıboşluk ve sorumsuzluk değil, nefsin heva ve arzularına esir olmaktan kurtulmak, yani ahlaki ve iradi bir özgürlük olduğu vurgulanır. Hutbe, ortak gemiyi delmeden ebediyete güvenle ulaşabilmek için Rabbe yakarışla tamamlanır.",hürriyet; mesuliyet; irade hürriyeti; toplumsal sorumluluk; nefse esir olmamak; gemi benzetmesi
04.04.2014,2014,DOĞRULUK VE SADAKA,"Ahlak, Erdem ve Söz",,"Hutbe, doğruluğun sadece sözle sınırlı olmayıp düşünce, niyet ve davranışta bütüncül bir dürüstlük olduğunu, Peygamberimizin doğruluğu cennete götüren en önemli haslet saydığını anlatır. Sadaka kavramının klasik anlamının ötesinde, gülümsemekten yol göstermeye, ağaç dikmekten ilim öğretmeye kadar geniş bir davranış yelpazesini kapsadığı hadislerle örneklendirilir. Hutbe, dürüst ve sadık olanların bahtiyarlığına vurgu yaparak sona erer.",doğruluk; sıdk; sadaka; dürüstlük; güzel söz; davranış ahlakı
11.04.2014,2014,KUTLU DOĞUM,Peygamberimiz ve Ashab,"Ahlak, Erdem ve Söz","Hutbe, Peygamberimizin doğumunu vesile ederek onun insanlığı cehalet ve zulümden hak, adalet ve ahlaka taşıyan rahmet ve rehberlik misyonunu anlatır. Onun hayatındaki hicret, aile, ashapla ilişkiler, savaşlar ve affedicilik gibi örneklerin günümüz Müslümanlarınca yeniden öğrenilmesi ve yaşanması gerektiği vurgulanır. Hutbe, Peygamberimizin doğumunun ülke, millet ve tüm insanlık için hayırlara vesile olması duasıyla sona erer.",kutlu doğum; peygamber sevgisi; siyer; örnek ahlak; ashab; veda hutbesi
18.04.2014,2014,KULLUK SINAVIMIZ: İHLAS VE SAMİMİYET,"Ahlak, Erdem ve Söz","İbadet ve Kulluk; İman, Tevhid ve Ahiret","Hutbe, ihlas ve samimiyetin ibadetlerin kabulü için temel şart olduğunu, namaz, zekât, oruç ve hac gibi ibadetlerin ancak riyadan uzak, yalnızca Allah rızası gözetilerek yapıldığında değer kazandığını anlatır. Dünyevileşmenin ve gösterişin kalpten ihlası nasıl sildiği, riyakârların ahirette karşılaşacağı hüsranla birlikte vurgulanır. Hutbe, ihlas, samimiyet ve Allah'ın rızasına ulaşma dileğiyle sona erer.",ihlas; samimiyet; riya; gösterişten uzak ibadet; helal kazanç; dünyevileşme
16.05.2014,2014,MÜMİNLER TEK VÜCUT GİBİDİR,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk; Ekonomik Hayat: Kazanç, Zekat ve İsraf","Hutbe, Soma maden faciasında hayatını kaybeden işçilerin ardından sabır ve dayanışma çağrısı yapar; ölümün ve musibetin karşısında tevekkül ile birlikte iş güvenliğinde tedbir almanın da müminin sorumluluğu olduğunu vurgular. Madenci kardeşlerin helal rızık peşinde alın teri döktüğü hatırlatılarak milletçe acıyı paylaşma ve dua etme çağrısında bulunulur. Hutbe, kaybedilenlere rahmet ve geride kalanlara sabır dilenmesiyle sona erer.",soma maden faciası; sabır; iş güvenliği; musibet karşısında dayanışma; tedbir ve tevekkül; toplumsal yas
23.05.2014,2014,MİRAÇ KANDİLİ,"Kandiller, Muharrem ve Mübarek Geceler",,"Hutbe, Miraç Kandili vesilesiyle İsrâ ve Miraç mucizesini, bu kutlu yolculuğun insanın hem Allah'a hem de kendi iç dünyasına yükselişini simgelediğini anlatır. Miraçtan getirilen üç büyük hediye olan beş vakit namaz, Bakara suresinin son ayetleri ve günahların bağışlanma müjdesi ayrıntılarıyla açıklanır. Hutbe, Soma faciası ve Balkanlardaki sel felaketinde vefat edenlere rahmet dileği ve Miraç Kandilinin mübarek olması temennisiyle sona erer.",miraç kandili; isra ve miraç; beş vakit namaz; manevi yükseliş; kandil
30.05.2014,2014,TÖVBE VE İSTİĞFAR MEVSİMİ ÜÇ AYLAR,"İman, Tevhid ve Ahiret",,"Hutbe, üç ayların tövbe ve istiğfar mevsimi olduğunu, insanın nefsani zaafları sebebiyle sürekli hata ve günah işleyebileceğini, bu yüzden Allah'ın rahmet kapısı olan tövbeye sarılması gerektiğini anlatır. Nasuh tövbenin sadece pişmanlık değil, günahı terk edip haklara riayet ve helalleşmeyi de içerdiği vurgulanır. Hutbe, Peygamberimizin öğrettiği seyyidül istiğfar duasıyla sona erer.",tövbe; istiğfar; üç aylar; nasuh tövbe; helalleşme; manevi arınma
06.06.2014,2014,"DUA, İBADETİN ÖZÜDÜR",İbadet ve Kulluk,,"Hutbe, duanın ibadetin özü olduğunu, sadece maddi ihtiyaç istemenin ötesinde Allah'ı tanıma, tefekkür ve kulluk bilinci taşıdığını anlatır. Duanın kabulü için helal lokma ve helal kazancın şart olduğu, aksi halde duanın makbul olmayacağı hadislerle vurgulanır. Hutbe, yaklaşan Berat Kandili'nin tebrik edilmesi ve Peygamberimizin öğrettiği çeşitli dualarla sona erer.",dua; helal kazanç; berat kandili; duanın kabulü; ibadetin özü
13.06.2014,2014,İMANIN ŞUBELERİ,"İman, Tevhid ve Ahiret","Ahlak, Erdem ve Söz; Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, imanın yetmişten fazla şubesi olduğunu, en üstün derecesinin kelime-i tevhit, en alt derecesinin ise yoldan eziyet veren bir şeyi kaldırmak olduğunu anlatarak imanın sosyal boyutuna dikkat çeker. İmanın salih amelle bütünleşmesi gerektiği, sadece dille inanmanın yeterli olmadığı vurgulanır ve hayânın da imandan bir şube olduğu özellikle işlenir. Hutbe, hayânın hayat ve diri olmakla eş anlamlı olduğunu belirten bir hadisle sona erer.",imanın şubeleri; hayâ; salih amel; iman ve sosyal hayat; kelime-i tevhit
20.06.2014,2014,"CAMİYE KOŞALIM, KUR’AN’LA BULUŞALIM",Kur'an-ı Kerim,"Aile, Çocuk ve Nesil","Hutbe, Kur'an'ın insanlığı dönüştüren gücünü anlatarak çocukları ve gençleri Kur'an'la ve camiyle buluşturmanın anne-babalara düşen en önemli görev olduğunu vurgular. Yaz Kur'an kurslarının başlamasıyla çocuklara benlik, kişilik ve kimlik kazandırmanın öneminden bahsedilir. Hutbe, çocukların göz aydınlığı ve salih birer evlat olarak yetişmesi için yapılan bir dua ile sona erer.",yaz kur'an kursları; çocuk eğitimi; kur'an ile buluşma; salih evlat; gençlik
27.06.2014,2014,"KİMSE KİMSESİZ KALMASIN, BU RAMAZAN VE HER ZAMAN!","Toplumsal Dayanışma, Merhamet ve Kardeşlik","Sabır, Tevekkül ve Manevi Olgunluk; Ramazan, Oruç ve Bayramlar","Hutbe, Ramazan ayının paylaşma, kardeşlik ve dayanışma mesajlarını hatırlatarak modern yalnızlığın toplumdaki yoksullar, yaşlılar, yetimler ve kimsesizler üzerindeki olumsuz etkisine dikkat çeker. Diyanet'in bu yılki Ramazan temasının 'Kimse kimsesiz kalmasın' olduğu belirtilerek bencillikten uzaklaşıp diğerkâm olma çağrısı yapılır. Hutbe, kimsesizlerin kimsesi olma bilincini pekiştiren bir vurguyla sona erer.",ramazan; kimsesizler; yalnızlık; diğerkâmlık; yardımlaşma; modern yalnızlık
11.07.2014,2014,KİMSESİZLERİN KİMSESİ OLABİLMEK,"Aile, Çocuk ve Nesil","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, bencillik ve teknoloji bağımlılığının insanları yalnızlaştırdığını, Suriyeli mültecilerin, sokak çocuklarının, huzurevindeki yaşlıların ve yetimlerin bu Ramazan'da özellikle hatırlanması gerektiğini anlatır. Türkiye'deki mülteci, kimsesiz çocuk ve yaşlı sayılarına dair somut verilerle bu kesimlere sahip çıkmanın Müslüman ahlakının gereği olduğu vurgulanır. Hutbe, yetimlere kol kanat gerenlerin cennette Peygamberimizle yan yana olacağı müjdesiyle sona erer.",mülteciler; sokak çocukları; huzurevi yaşlıları; yetimler; teknoloji bağımlılığı; toplumsal yalnızlık
18.07.2014,2014,MAZLUMLARIN ÜMİDİ OLABİLMEK,İslam Coğrafyası ve Küresel Meseleler,"Toplumsal Dayanışma, Merhamet ve Kardeşlik; Ekonomik Hayat: Kazanç, Zekat ve İsraf","Hutbe, İslam dünyasındaki iç çatışmaların yanı sıra İsrail'in Gazze'ye yönelik saldırılarının Ramazan'da yaşanan büyük bir acı olduğunu anlatarak zulme sessiz kalmanın Müslüman ahlakıyla bağdaşmadığını vurgular. Müslümanların her zaman mazlumun yanında yer alması gerektiği hatırlatılarak Filistin'e yönelik yardım kampanyasına destek çağrısı yapılır. Hutbe, zulmün son bulması ve mazlum kardeşlere yardım için edilen dua ile sona erer.",gazze; filistin; zulme karşı durmak; mazlumun yanında olmak; yardım kampanyası; islam dünyasındaki çatışmalar
25.07.2014,2014,RAMAZAN MUHASEBESİ,"Ekonomik Hayat: Kazanç, Zekat ve İsraf","Ramazan, Oruç ve Bayramlar; Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, Ramazan'ın sona ermesine yaklaşırken müminleri bir öz muhasebeye davet ederek oruç, ibadet ve tövbe konusunda ne kadar samimi olunduğunun sorgulanmasını ister. Kibir, israf, riya ve kul hakkı ihlali gibi Kur'ani değerlerden uzaklaşmanın toplumsal yozlaşmaya yol açtığı vurgulanarak Ramazan'ın kazandırdığı değerlerin kalıcı kılınması istenir. Hutbe, zekât ve fitrenin bayrama kadar ihtiyaç sahiplerine ulaştırılması hatırlatmasıyla ve İslam coğrafyasındaki kan ve gözyaşının dinmesi duasıyla sona erer.",ramazan muhasebesi; öz eleştiri; zekât ve fitre; israf; kul hakkı; kur'an'a bağlılık
28.07.2014,2014,RAMAZAN BAYRAMI,"Toplumsal Dayanışma, Merhamet ve Kardeşlik","Ramazan, Oruç ve Bayramlar","Hutbe, Ramazan Bayramı'nı imsak, paylaşma, zekât ve tevhidin bayramı olarak tanımlarken aynı zamanda İslam coğrafyasındaki savaş ve zulümler nedeniyle bir hüzün günü olduğunu da vurgular. Bayramın; anne-baba duası almak, akrabalık bağlarını güçlendirmek, kimsesizlere ve mazlumlara sahip çıkmak için bir fırsat olduğu anlatılır. Hutbe, İslam dünyasında barış ve huzurun tesisi için edilen dualarla sona erer.",ramazan bayramı; bayram sevinci; islam dünyasındaki hüzün; akraba ziyareti; sıla-i rahim; paylaşma
08.08.2014,2014,"SADIK İMAN, SAMİMİ NİYET, SALİH AMEL","İman, Tevhid ve Ahiret","Sabır, Tevekkül ve Manevi Olgunluk","Hutbe, imanın kalp ile tasdik edilse de asıl göstergesinin salih amel olduğunu, 'salih' kavramının Allah'ın rızasına ve insanlığın yararına uygunluk anlamına geldiğini anlatır. Bireysel salihliğin yeterli olmadığı, insanın bir adım öteye geçerek 'muslih' yani ıslah edici olması gerektiği vurgulanır. Hutbe, Kur'an'da geçen salihler zümresine dahil olma dualarıyla sona erer.",salih amel; sadık iman; samimi niyet; muslih olmak; ıslah
15.08.2014,2014,PEYGAMBERE İMAN OLMADAN ALLAH’A İMAN OLMAZ,Peygamberimiz ve Ashab,"İman, Tevhid ve Ahiret","Hutbe, Peygambere iman etmeden Allah'a imanın tam olamayacağını, tevhit, nübüvvet ve ahiret inancının İslam'ın ayrılmaz temelleri olduğunu anlatır. Namaz ve oruç gibi ibadetlerin nasıl yapılacağının ancak Peygamberimizin örnekliğiyle öğrenildiği vurgulanarak ona olan itaatin Allah'a itaat anlamına geldiği hatırlatılır. Hutbe, Peygamberimizi örnek ve rehber edinme çağrısı ve iman tadına erişme duasıyla sona erer.",peygambere iman; nübüvvet; tevhit; peygamberi örnek almak; itaat
22.08.2014,2014,HAYÂ HAYATTIR!,"Ahlak, Erdem ve Söz",,"Hutbe, hayânın İslam ahlakının temel kavramlarından biri olduğunu, Allah'a, insanlara ve kişinin kendine karşı üç boyutu bulunduğunu anlatır. Modern zamanlarda hayâsızlığın bir endüstri haline getirilerek toplumsal ahlakın aşındırıldığı, buna karşın hayânın insanın hayatiyetinin ve onurunun bir göstergesi olduğu vurgulanır. Hutbe, Peygamberimizin hidayet, takva ve iffet dilediği duasıyla sona erer.",hayâ; iffet; edep; ahlaki çöküş; modern hayâsızlık; toplumsal ahlak
26.09.2014,2014,İŞ VE TİCARET AHLAKI-ÂHİLİK,"Ekonomik Hayat: Kazanç, Zekat ve İsraf",,"Hutbe, İslam'ın iş ve ticaret ahlakının doğruluk, dürüstlük ve işçi hakkına riayet üzerine kurulu olduğunu, işçilerin alın terinin heba edilmesinin ve iş kazalarının vicdanları yaralayan bir haksızlık olduğunu anlatır. Tarihte Ahilik Teşkilatı örneği üzerinden dürüst ve liyakatli ticaretin nasıl kurumsallaştığı hatırlatılarak helal kazancın müminin kazanç felsefesi olması gerektiği vurgulanır. Hutbe, ölçü ve tartıda hile yapanları uyaran ayetlerle sona erer.",iş ve ticaret ahlakı; ahilik; işçi hakları; iş güvenliği; helal kazanç; haksız kazanç
